donor_name_e,recipient_name_e,value,marker
Spain,Honduras,2.6095104655,climate_adaptation
Spain,Colombia,2.5602516818,climate_adaptation
New Zealand,Kiribati,2.5184259284,climate_adaptation
New Zealand,Rwanda,2.4455442855,climate_adaptation
Ireland,Kenya,2.4107386572,climate_adaptation
Ireland,South Sudan,2.2315015931,climate_adaptation
Poland,Albania,2.1289415234,climate_adaptation
Austria,Ethiopia,2.1084438683,climate_adaptation
Austria,Uzbekistan,2.0979039633,climate_adaptation
Iceland,Uganda,1.9929679575,climate_adaptation
Finland,Uzbekistan,1.8553886374,climate_adaptation
Austria,Lao People's Democratic Republic,1.7445833766,climate_adaptation
Austria,Armenia,1.5948916280,climate_adaptation
Austria,Nicaragua,1.5217815943,climate_adaptation
Austria,Egypt,1.5133177293,climate_adaptation
Luxembourg,Myanmar,1.3529605360,climate_adaptation
Finland,Zambia,1.2605171441,climate_adaptation
Finland,Ukraine,1.1970249274,climate_adaptation
Iceland,Sierra Leone,0.9429013742,climate_adaptation
Lithuania,Georgia,0.9014358529,climate_adaptation
Poland,Kenya,0.8384207732,climate_adaptation
Poland,Ukraine,0.8032137290,climate_adaptation
Czechia,Zambia,0.7088078841,climate_adaptation
Portugal,Cabo Verde,0.7008645536,climate_adaptation
Luxembourg,Bangladesh,0.6246936584,climate_adaptation
Finland,Tajikistan,0.5985124637,climate_adaptation
Finland,Kyrgyzstan,0.5551541854,climate_adaptation
Luxembourg,Niger,0.4824821796,climate_adaptation
Poland,Lebanon,0.4663354198,climate_adaptation
Finland,Sudan,0.3680580234,climate_adaptation
Iceland,Liberia,0.3501800810,climate_adaptation
Poland,Tanzania,0.3266637519,climate_adaptation
Poland,Moldova,0.3196235462,climate_adaptation
Iceland,Ethiopia,0.3158147552,climate_adaptation
Poland,Georgia,0.3156590668,climate_adaptation
Czechia,Georgia,0.3133164737,climate_adaptation
Portugal,Mozambique,0.2943324401,climate_adaptation
Portugal,Colombia,0.2766579713,climate_adaptation
Luxembourg,Benin,0.2717210102,climate_adaptation
Czechia,Moldova,0.2674807865,climate_adaptation
Luxembourg,Burundi,0.2490111076,climate_adaptation
Luxembourg,Democratic Republic of the Congo,0.2473679986,climate_adaptation
Poland,Jordan,0.2332524006,climate_adaptation
Luxembourg,Lao People's Democratic Republic,0.2296643806,climate_adaptation
Portugal,Timor-Leste,0.2235085415,climate_adaptation
Luxembourg,Ethiopia,0.2139591246,climate_adaptation
Slovenia,Georgia,0.1838331251,climate_adaptation
Portugal,Guinea-Bissau,0.1779384764,climate_adaptation
Slovenia,Rwanda,0.1618549294,climate_adaptation
Slovenia,Sudan,0.1618549294,climate_adaptation
Slovenia,Uganda,0.1618549294,climate_adaptation
Poland,Sudan,0.1501369198,climate_adaptation
Czechia,Niger,0.1320167960,climate_adaptation
Czechia,Cambodia,0.1240549819,climate_adaptation
Iceland,Burkina Faso,0.1227468094,climate_adaptation
Slovak Republic,Kenya,0.1223977417,climate_adaptation
Lithuania,Mali,0.1216939886,climate_adaptation
Iceland,South Sudan,0.1206294158,climate_adaptation
Poland,Myanmar,0.1130704230,climate_adaptation
Slovak Republic,Georgia,0.1083576349,climate_adaptation
Lithuania,Nigeria,0.1031209626,climate_adaptation
Czechia,Bosnia and Herzegovina,0.0920484042,climate_adaptation
Lithuania,Armenia,0.0908478751,climate_adaptation
Portugal,Angola,0.0876347521,climate_adaptation
Slovenia,Serbia,0.0874727337,climate_adaptation
Slovenia,Bosnia and Herzegovina,0.0775199925,climate_adaptation
Czechia,West Bank and Gaza Strip,0.0752591845,climate_adaptation
Iceland,El Salvador,0.0693857919,climate_adaptation
Slovak Republic,Afghanistan,0.0674813744,climate_adaptation
Czechia,Haiti,0.0660083980,climate_adaptation
Portugal,Sao Tome and Principe,0.0657524144,climate_adaptation
Czechia,Indonesia,0.0549373077,climate_adaptation
Portugal,Côte d'Ivoire,0.0545444852,climate_adaptation
Iceland,Türkiye,0.0485143686,climate_adaptation
Iceland,Syrian Arab Republic,0.0440110194,climate_adaptation
Slovak Republic,Moldova,0.0330146545,climate_adaptation
Lithuania,Ukraine,0.0271927525,climate_adaptation
Portugal,Cuba,0.0219736877,climate_adaptation
Lithuania,Moldova,0.0217022235,climate_adaptation
Slovak Republic,Ukraine,0.0204868967,climate_adaptation
Lithuania,Côte d'Ivoire,0.0177501082,climate_adaptation
Lithuania,Belarus,0.0161952323,climate_adaptation
Portugal,El Salvador,0.0153193000,climate_adaptation
Slovak Republic,North Macedonia,0.0094620001,climate_adaptation
Latvia,Uzbekistan,0.0067000053,climate_adaptation
Lithuania,Türkiye,0.0066780812,climate_adaptation
Slovak Republic,Albania,0.0066002897,climate_adaptation
Slovenia,Comoros,0.0065528311,climate_adaptation
Latvia,Ghana,0.0007696072,climate_adaptation
Latvia,Viet Nam,0.0007696072,climate_adaptation
Latvia,Ukraine,0.0002934473,climate_adaptation
All DAC members,Mali,181.061997735,desertification
All DAC members,Ethiopia,172.805344249,desertification
All DAC members,Niger,161.659800064,desertification
All DAC members,Mexico,152.435039426,desertification
All DAC members,Philippines,105.061185602,desertification
All DAC members,Burkina Faso,103.685332369,desertification
All DAC members,Côte d'Ivoire,97.55344904,desertification
All DAC members,Egypt,88.4456299,desertification
Germany,Niger,87.631920616,desertification
All DAC members,India,85.428896727,desertification
All DAC members,Tunisia,84.311297846,desertification
Germany,Tunisia,80.961136523,desertification
Germany,Ethiopia,77.99230211,desertification
EU Institutions,Mali,68.329389846,desertification
Germany,Mali,67.198631023,desertification
Japan,India,49.60573477,desertification
Korea,Colombia,45.369193216,desertification
EU Institutions,Rwanda,42.861162721,desertification
Germany,Burkina Faso,37.671208491,desertification
United Kingdom,Ethiopia,34.771501932,desertification
EU Institutions,Iraq,33.716377448,desertification
Germany,India,31.996698031,desertification
EU Institutions,Niger,31.058813566,desertification
EU Institutions,Burkina Faso,31.058813566,desertification
EU Institutions,Haiti,30.506302604,desertification
Germany,China (People's Republic of),28.681029371,desertification
EU Institutions,Egypt,24.100613284,desertification
Germany,Chad,23.209882587,desertification
EU Institutions,Yemen,21.741169496,desertification
EU Institutions,Tanzania,19.026799961,desertification
EU Institutions,Togo,18.63528814,desertification
Germany,Jordan,16.637884156,desertification
Germany,Cameroon,16.045103042,desertification
Sweden,Mali,15.270712608,desertification
Switzerland,Chad,14.611577489,desertification
Italy,Mozambique,14.173727993,desertification
Australia,Afghanistan,13.585100614,desertification
United Kingdom,Pakistan,12.609706563,desertification
Korea,Ethiopia,10.686609113,desertification
Italy,Senegal,10.507373261,desertification
Italy,Afghanistan,10.030915687,desertification
Korea,Viet Nam,9.885947202,desertification
Belgium,Mali,9.179641586,desertification
Australia,Bangladesh,8.923540398,desertification
Ireland,Ethiopia,8.299208866,desertification
Switzerland,Burkina Faso,7.471010391,desertification
Italy,West Bank and Gaza Strip,7.409335604,desertification
Sweden,Burkina Faso,6.783511892,desertification
Norway,Ethiopia,6.729573709,desertification
Australia,Myanmar,5.657508508,desertification
Korea,Indonesia,5.608560394,desertification
Italy,Mali,5.523837294,desertification
Korea,Uganda,5.444303186,desertification
Denmark,Kenya,5.327036968,desertification
Italy,Somalia,5.212658323,desertification
Italy,Ethiopia,5.20891658,desertification
Switzerland,Kenya,4.845329817,desertification
Luxembourg,Burkina Faso,4.811520293,desertification
Ireland,Malawi,4.695116028,desertification
United Kingdom,Afghanistan,4.69278125,desertification
Italy,Lebanon,4.689056587,desertification
Belgium,West Bank and Gaza Strip,4.589684168,desertification
Sweden,Somalia,4.2135687,desertification
Austria,Mozambique,4.167862158,desertification
Korea,Democratic Republic of the Congo,4.083227389,desertification
Australia,Papua New Guinea,3.991513907,desertification
United Kingdom,Zimbabwe,3.926305631,desertification
Belgium,Niger,3.905096082,desertification
Luxembourg,Mali,3.840721065,desertification
Belgium,Tanzania,3.76673465,desertification
Belgium,Mozambique,3.651495425,desertification
Korea,Fiji,3.629535457,desertification
Korea,Myanmar,3.329976285,desertification
Switzerland,Niger,3.291255227,desertification
Korea,Guatemala,3.28394744,desertification
Netherlands,Jordan,3.227223952,desertification
Spain,Senegal,3.206832524,desertification
Korea,Ghana,3.154525779,desertification
Spain,Honduras,3.010120291,desertification
Canada,Bolivia,3.004281954,desertification
Australia,Indonesia,2.975466451,desertification
Canada,Mali,2.840629675,desertification
Sweden,Sudan,2.724345905,desertification
Austria,Armenia,2.671693565,desertification
Belgium,Burkina Faso,2.573547472,desertification
Canada,Burkina Faso,2.553469004,desertification
Belgium,Peru,2.403961363,desertification
Denmark,Lebanon,2.3848395,desertification
Belgium,Senegal,2.328527961,desertification
Canada,Niger,2.275216276,desertification
Belgium,Morocco,2.229344406,desertification
Australia,Timor-Leste,2.215878557,desertification
Norway,Somalia,2.156499631,desertification
Italy,Bosnia and Herzegovina,2.125975283,desertification
Japan,Myanmar,2.105496229,desertification
Austria,Ethiopia,2.081427575,desertification
Canada,Philippines,2.037488682,desertification
Switzerland,Bolivia,2.005803855,desertification
Italy,Iraq,1.99097741,desertification
Switzerland,Nicaragua,1.980579351,desertification
Australia,Philippines,1.948827448,desertification
Belgium,Ecuador,1.946904227,desertification
United Kingdom,South Africa,1.84122622,desertification
United Kingdom,India,1.829728313,desertification
Spain,Mali,1.802982565,desertification
Denmark,Uganda,1.724228263,desertification
Switzerland,Ethiopia,1.703622461,desertification
Sweden,Uganda,1.68542748,desertification
Spain,Mozambique,1.656656962,desertification
Australia,Fiji,1.648222572,desertification
Denmark,Somalia,1.638294916,desertification
Denmark,Niger,1.622976858,desertification
Sweden,Tanzania,1.573065648,desertification
Sweden,Moldova,1.547675191,desertification
Austria,Egypt,1.513317729,desertification
Ireland,Chad,1.479341465,desertification
Spain,Ecuador,1.472710521,desertification
Spain,El Salvador,1.468945025,desertification
Australia,Lao People's Democratic Republic,1.440857002,desertification
Ireland,Uganda,1.40473321,desertification
Australia,Viet Nam,1.360268583,desertification
Spain,Mauritania,1.357560378,desertification
Spain,Bolivia,1.338358125,desertification
Spain,Guatemala,1.337637398,desertification
Canada,Democratic Republic of the Congo,1.331108893,desertification
Canada,South Sudan,1.330461151,desertification
Spain,Nicaragua,1.239527373,desertification
Canada,Sudan,1.21539287,desertification
Canada,Ethiopia,1.193062817,desertification
Canada,Peru,1.118236013,desertification
Austria,Georgia,1.088161305,desertification
Japan,Kenya,0.953613575,desertification
Japan,Botswana,0.882379813,desertification
Ireland,Kenya,0.860952812,desertification
Japan,Ethiopia,0.837948751,desertification
Ireland,Sudan,0.82865987,desertification
Ireland,Sierra Leone,0.826456157,desertification
Norway,Jordan,0.806049741,desertification
United Kingdom,Tunisia,0.801905692,desertification
Czechia,Ethiopia,0.758062734,desertification
Switzerland,Armenia,0.754326751,desertification
Ireland,Mozambique,0.747859373,desertification
United Kingdom,Peru,0.738535038,desertification
Denmark,Ethiopia,0.704466814,desertification
Switzerland,Mongolia,0.685803439,desertification
Ireland,Jordan,0.640369424,desertification
Japan,Mozambique,0.605342297,desertification
Ireland,Nicaragua,0.594791058,desertification
Japan,Mongolia,0.585396764,desertification
United Kingdom,Indonesia,0.568949849,desertification
United Kingdom,Ghana,0.566427323,desertification
Switzerland,Indonesia,0.554907498,desertification
Japan,Iran,0.553888891,desertification
Japan,Cameroon,0.528164025,desertification
Czechia,Zambia,0.436411378,desertification
Japan,West Bank and Gaza Strip,0.409923907,desertification
Austria,Senegal,0.383886483,desertification
Austria,El Salvador,0.37983538,desertification
Poland,Kenya,0.351781339,desertification
Austria,Nicaragua,0.296030566,desertification
Austria,Guatemala,0.259466994,desertification
Finland,Nepal,0.244761653,desertification
Norway,Mali,0.236741356,desertification
Sweden,Bolivia,0.235212529,desertification
Sweden,Thailand,0.202411242,desertification
Portugal,Cabo Verde,0.197844367,desertification
Netherlands,Sudan,0.193633655,desertification
Austria,Tanzania,0.177582371,desertification
Finland,Madagascar,0.174109848,desertification
Norway,Niger,0.160814097,desertification
Portugal,Mozambique,0.148366906,desertification
Luxembourg,Senegal,0.134412882,desertification
Poland,Georgia,0.122010613,desertification
Sweden,Ethiopia,0.112361832,desertification
Czechia,Moldova,0.098520173,desertification
Luxembourg,Bolivia,0.095289932,desertification
Finland,Gambia,0.092014506,desertification
Iceland,Sierra Leone,0.088022039,desertification
Norway,Kenya,0.082637062,desertification
Netherlands,Egypt,0.079284473,desertification
Czechia,West Bank and Gaza Strip,0.075259185,desertification
Netherlands,Bangladesh,0.072612757,desertification
Portugal,Sao Tome and Principe,0.065752414,desertification
Finland,Morocco,0.065154245,desertification
Finland,India,0.064342677,desertification
Norway,Democratic Republic of the Congo,0.05534889,desertification
Netherlands,Cuba,0.053721966,desertification
Luxembourg,India,0.051339016,desertification
Portugal,Angola,0.041591506,desertification
Finland,Guinea,0.029788163,desertification
Luxembourg,Madagascar,0.019569917,desertification
Poland,Madagascar,0.019497563,desertification
Czechia,Mongolia,0.019047112,desertification
Portugal,El Salvador,0.0153193,desertification
Poland,Serbia,0.013563083,desertification
Norway,Zimbabwe,0.012395521,desertification
Poland,Senegal,0.011582997,desertification
Denmark,Bangladesh,0.010465204,desertification
Norway,Cameroon,0.009981968,desertification
Slovak Republic,North Macedonia,0.009462,desertification
Denmark,Indonesia,0.008846793,desertification
Norway,Tanzania,0.008263681,desertification
Luxembourg,Guatemala,0.008033833,desertification
Latvia,Uzbekistan,0.006700005,desertification
Denmark,Bolivia,0.005106379,desertification
Luxembourg,Nicaragua,0.004770838,desertification
Denmark,Mozambique,0.003384227,desertification
Finland,Ghana,0.002104065,desertification
All DAC members,Afghanistan,962.3887306,dig
All DAC members,Indonesia,933.24891662,dig
All DAC members,Iraq,845.48377212,dig
All DAC members,Colombia,844.4668801,dig
All DAC members,Morocco,831.49794023,dig
All DAC members,Ethiopia,734.446922,dig
All DAC members,India,732.16404548,dig
All DAC members,Ukraine,713.74983263,dig
All DAC members,Tanzania,675.70083484,dig
All DAC members,Mali,650.25124376,dig
Germany,India,494.94335014,dig
Germany,Morocco,410.68779644,dig
Germany,Iraq,353.82818156,dig
Germany,Indonesia,344.4741057,dig
Germany,Afghanistan,339.14721855,dig
Germany,Ethiopia,324.71666772,dig
Germany,Tunisia,312.38602384,dig
Germany,Colombia,290.93481119,dig
France,Dominican Republic,278.23730169,dig
France,Nigeria,273.6321913,dig
EU Institutions,Ukraine,262.76367504,dig
EU Institutions,Türkiye,259.5914391,dig
Germany,Jordan,257.09884949,dig
United States,Colombia,245.7795763,dig
EU Institutions,Morocco,245.48475825,dig
Germany,Georgia,233.97730225,dig
France,Brazil,229.11173396,dig
EU Institutions,Mozambique,215.91502838,dig
France,Indonesia,201.76667267,dig
EU Institutions,Democratic Republic of the Congo,198.88476103,dig
EU Institutions,Tanzania,191.09006201,dig
France,Mauritius,188.42278213,dig
EU Institutions,Iraq,184.59913074,dig
France,Tanzania,182.32859547,dig
Australia,Papua New Guinea,178.67336878,dig
United States,Ukraine,176.3453623,dig
United States,Afghanistan,174.54951614,dig
France,Egypt,169.08178295,dig
EU Institutions,Serbia,159.46546926,dig
EU Institutions,West Bank and Gaza Strip,154.51445806,dig
United States,Iraq,152.39644327,dig
France,Mexico,152.33069338,dig
France,Philippines,151.20673132,dig
France,Georgia,150.26171668,dig
EU Institutions,Kosovo,149.9995815,dig
United States,Mexico,146.84464927,dig
Korea,Indonesia,140.56611579,dig
Japan,Viet Nam,135.4054628,dig
Japan,Indonesia,104.96895413,dig
Japan,Bangladesh,104.69226175,dig
Japan,India,87.27776168,dig
Canada,Afghanistan,79.82342532,dig
Denmark,Kenya,75.87984869,dig
Korea,Tanzania,70.95721781,dig
Sweden,Somalia,67.684879,dig
United States,Pakistan,64.39449192,dig
Canada,Mozambique,62.04514118,dig
Norway,Colombia,62.01301968,dig
Norway,Brazil,60.537248,dig
United States,Guatemala,60.37475682,dig
Sweden,Democratic Republic of the Congo,58.26007609,dig
United States,Nigeria,57.30647267,dig
United States,Honduras,56.65691486,dig
Korea,Bangladesh,55.8065312,dig
Switzerland,Nepal,55.76311062,dig
Japan,Afghanistan,55.3401888,dig
United States,Myanmar,54.26520856,dig
Sweden,Tanzania,51.67834723,dig
Netherlands,Mali,51.14975158,dig
Netherlands,Ethiopia,51.0074798,dig
Norway,South Sudan,50.77192563,dig
Australia,Fiji,50.11888051,dig
Korea,Dominican Republic,48.10584825,dig
Switzerland,Benin,47.88514564,dig
Canada,Mali,45.55026065,dig
Sweden,Syrian Arab Republic,44.50177419,dig
Australia,Indonesia,43.05604262,dig
Switzerland,Mali,42.37809842,dig
Italy,Afghanistan,42.04224628,dig
Australia,Solomon Islands,41.72534171,dig
Sweden,Mali,41.38422184,dig
Switzerland,Bangladesh,40.62641313,dig
Switzerland,Tanzania,38.60624864,dig
Korea,Angola,38.60065824,dig
Netherlands,Burkina Faso,38.28057912,dig
Switzerland,Somalia,36.63017566,dig
Norway,Somalia,36.21855215,dig
Denmark,Afghanistan,36.18276605,dig
Switzerland,Niger,35.70747254,dig
Norway,Ethiopia,35.02101162,dig
Canada,South Sudan,34.46716716,dig
Switzerland,Tunisia,34.30237212,dig
Netherlands,Yemen,34.0471172,dig
Canada,Bangladesh,33.50060641,dig
Australia,Vanuatu,32.87520145,dig
Norway,Tanzania,32.86541051,dig
Norway,Mozambique,32.77266307,dig
Canada,Senegal,31.37160267,dig
Switzerland,Lao People's Democratic Republic,31.04336868,dig
Switzerland,Albania,30.81478612,dig
Norway,Lebanon,30.70158908,dig
Denmark,Mali,29.40417685,dig
Norway,Syrian Arab Republic,28.63570338,dig
Italy,Ethiopia,27.62426187,dig
Korea,Viet Nam,27.52582585,dig
Norway,Afghanistan,27.41660757,dig
Netherlands,Democratic Republic of the Congo,26.69441306,dig
Sweden,South Sudan,26.13957532,dig
Sweden,Ukraine,26.10846574,dig
Sweden,Zambia,26.04936314,dig
Sweden,Liberia,25.63884218,dig
Sweden,Sudan,25.51982589,dig
Poland,Belarus,25.44347367,dig
Australia,Afghanistan,25.19610657,dig
Netherlands,South Sudan,25.10998532,dig
Italy,Mozambique,24.83733854,dig
Ireland,Mozambique,24.36135105,dig
Netherlands,Iraq,24.28408288,dig
Australia,Timor-Leste,24.15891098,dig
Canada,Democratic Republic of the Congo,24.08169036,dig
Canada,Ethiopia,23.9102252,dig
Netherlands,Niger,23.86121961,dig
Spain,Colombia,23.58797365,dig
Netherlands,Afghanistan,22.73489083,dig
Canada,Haiti,22.54713236,dig
Netherlands,Somalia,22.49464334,dig
Spain,Türkiye,22.41815071,dig
Australia,Philippines,22.26785783,dig
Canada,Tanzania,22.20424817,dig
Korea,Ethiopia,22.00934932,dig
Australia,Bangladesh,21.16760661,dig
Italy,Somalia,20.19870982,dig
Ireland,Ethiopia,19.77162357,dig
Korea,Mongolia,19.20855397,dig
Italy,West Bank and Gaza Strip,19.20767077,dig
Denmark,Ukraine,19.1980252,dig
New Zealand,Solomon Islands,18.89330734,dig
Spain,El Salvador,18.13201588,dig
Italy,Senegal,18.00620667,dig
Spain,West Bank and Gaza Strip,17.95809142,dig
Spain,Guatemala,17.88953554,dig
Italy,Libya,17.85174953,dig
Australia,Myanmar,17.18018491,dig
Spain,Peru,16.57579013,dig
Luxembourg,Burkina Faso,16.11097014,dig
Korea,Myanmar,15.69128509,dig
Italy,Bolivia,15.59078001,dig
Finland,Nepal,15.46087352,dig
Spain,Bolivia,15.0636052,dig
Denmark,Ethiopia,14.9423025,dig
Korea,Uganda,14.87053028,dig
Denmark,Somalia,14.761892,dig
Italy,Pakistan,13.68755776,dig
Denmark,Lebanon,13.56991605,dig
Ireland,Tanzania,13.5441586,dig
Denmark,Burkina Faso,13.29097855,dig
Denmark,Tanzania,13.04466333,dig
Italy,Sudan,12.98752797,dig
New Zealand,Kiribati,12.66355026,dig
Finland,Tanzania,12.55427382,dig
Denmark,Syrian Arab Republic,12.44122279,dig
Luxembourg,Senegal,12.18523228,dig
Japan,Solomon Islands,11.9684392,dig
Ireland,Sierra Leone,11.66272851,dig
New Zealand,Timor-Leste,11.34707484,dig
Spain,Senegal,11.10494202,dig
Finland,West Bank and Gaza Strip,10.89297118,dig
Finland,Somalia,10.88834387,dig
Poland,Türkiye,10.32784222,dig
Finland,Ethiopia,10.06093584,dig
Japan,Myanmar,9.81568535,dig
Ireland,Uganda,9.72414232,dig
Spain,Morocco,9.57161208,dig
Austria,Uganda,9.51940656,dig
Ireland,West Bank and Gaza Strip,9.16952292,dig
Luxembourg,Lao People's Democratic Republic,9.15414855,dig
Luxembourg,Cabo Verde,9.03941092,dig
New Zealand,Vanuatu,8.42003174,dig
New Zealand,Papua New Guinea,8.39393263,dig
Ireland,Malawi,8.31862086,dig
Finland,Myanmar,8.31070748,dig
Spain,Mozambique,8.12869869,dig
Japan,Iraq,7.44924766,dig
Finland,Ukraine,7.23480283,dig
New Zealand,Fiji,6.81151466,dig
New Zealand,Nauru,6.79113956,dig
Finland,Afghanistan,6.74773043,dig
Poland,Ukraine,6.72435479,dig
Japan,Cambodia,6.51424133,dig
Portugal,Sao Tome and Principe,6.50628091,dig
Luxembourg,Mali,6.49361967,dig
New Zealand,Tonga,6.33773285,dig
Finland,Mozambique,6.14857733,dig
Finland,Syrian Arab Republic,6.13457181,dig
Ireland,Zimbabwe,5.9586416,dig
Hungary,Jordan,5.83797636,dig
Iceland,Malawi,5.74782379,dig
Hungary,Syrian Arab Republic,5.72216457,dig
Japan,Moldova,5.675742,dig
Ireland,Viet Nam,5.5613993,dig
Hungary,Ukraine,4.97390229,dig
New Zealand,Cambodia,4.22960317,dig
New Zealand,Tuvalu,4.13287089,dig
Austria,Ethiopia,4.02017686,dig
Portugal,Cabo Verde,3.96652373,dig
Hungary,Iraq,3.87060899,dig
Austria,Moldova,3.37320645,dig
Hungary,China (People's Republic of),3.30886718,dig
Czechia,Moldova,3.25123015,dig
Austria,Albania,3.14942409,dig
Iceland,Uganda,3.06628387,dig
Luxembourg,Bangladesh,3.01245936,dig
Czechia,Bosnia and Herzegovina,3.01231599,dig
Hungary,Pakistan,3.01131701,dig
Hungary,Mongolia,2.96706264,dig
Hungary,Azerbaijan,2.87604709,dig
Luxembourg,Niger,2.84077778,dig
Ireland,Kenya,2.82454111,dig
Hungary,Kazakhstan,2.79332054,dig
Hungary,Viet Nam,2.73861027,dig
Czechia,Türkiye,2.44730735,dig
Czechia,Georgia,2.42906494,dig
Austria,Ukraine,2.39673422,dig
Austria,Georgia,2.31041216,dig
Poland,Albania,2.1422851,dig
Luxembourg,Myanmar,2.09546588,dig
Czechia,Ukraine,2.06358197,dig
Luxembourg,Kosovo,1.97159451,dig
Lithuania,Ukraine,1.91679846,dig
Poland,Moldova,1.81002211,dig
Poland,Georgia,1.76367138,dig
Slovak Republic,Türkiye,1.72183981,dig
Austria,Armenia,1.67469532,dig
Austria,Mozambique,1.57651489,dig
Portugal,Timor-Leste,1.55487643,dig
Czechia,Iraq,1.49862749,dig
Luxembourg,Nepal,1.40305937,dig
Estonia,Ukraine,1.27899192,dig
Lithuania,Georgia,1.26556664,dig
Czechia,Mali,1.25826782,dig
Portugal,Mozambique,1.2205406,dig
Czechia,Serbia,1.187672,dig
Portugal,Angola,1.17940881,dig
Czechia,Ethiopia,1.16829041,dig
Lithuania,Belarus,1.16712844,dig
Czechia,Afghanistan,1.13365519,dig
Portugal,Central African Republic,1.08918325,dig
Portugal,Guinea-Bissau,1.08809261,dig
Poland,Kosovo,1.06491351,dig
Slovak Republic,Georgia,0.95353366,dig
Lithuania,Türkiye,0.91683092,dig
Austria,Kosovo,0.91584853,dig
Portugal,Afghanistan,0.83519222,dig
Poland,Kenya,0.79983661,dig
Austria,Iraq,0.79176613,dig
Slovenia,North Macedonia,0.78161395,dig
Lithuania,Viet Nam,0.75951109,dig
Poland,Lebanon,0.7222198,dig
Slovak Republic,Ukraine,0.71689081,dig
Slovenia,Kosovo,0.59880807,dig
Lithuania,Armenia,0.55342876,dig
Slovak Republic,Moldova,0.54439945,dig
Poland,Tanzania,0.48443497,dig
Portugal,South Sudan,0.44683499,dig
Portugal,Mali,0.4281004,dig
Iceland,Ethiopia,0.38829082,dig
Iceland,Sierra Leone,0.34760113,dig
Slovenia,Bosnia and Herzegovina,0.32701626,dig
Slovenia,Ukraine,0.28701386,dig
Slovak Republic,Kosovo,0.28199256,dig
Estonia,Gambia,0.26946911,dig
Slovenia,Lebanon,0.26914687,dig
Estonia,Afghanistan,0.24298062,dig
Lithuania,Tajikistan,0.24149796,dig
Iceland,Jordan,0.23008837,dig
Lithuania,Moldova,0.22755942,dig
Slovak Republic,Belarus,0.19641343,dig
Iceland,Türkiye,0.18867133,dig
Iceland,West Bank and Gaza Strip,0.18801267,dig
Estonia,Georgia,0.18743026,dig
Iceland,Syrian Arab Republic,0.1811106,dig
Slovenia,Serbia,0.17365933,dig
Slovak Republic,Bosnia and Herzegovina,0.16014971,dig
Iceland,Kenya,0.1552538,dig
Slovak Republic,North Macedonia,0.13205862,dig
Slovenia,Syrian Arab Republic,0.13105662,dig
Estonia,Namibia,0.12794422,dig
Lithuania,Nigeria,0.12494194,dig
Slovenia,West Bank and Gaza Strip,0.12365359,dig
Slovenia,Montenegro,0.12270094,dig
Iceland,Belarus,0.12199063,dig
Lithuania,Mali,0.12169399,dig
Estonia,Belarus,0.10945184,dig
Slovak Republic,Albania,0.09305476,dig
Slovenia,Albania,0.08747273,dig
Estonia,Kyrgyzstan,0.08076926,dig
Estonia,Moldova,0.07404947,dig
Slovak Republic,Serbia,0.06855956,dig
Estonia,North Macedonia,0.06004086,dig
Estonia,Somalia,0.04924642,dig
All DAC members,Indonesia,779.8332524866,drr
Japan,Indonesia,623.973682227,drr
All DAC members,Philippines,361.4443559485,drr
All DAC members,Myanmar,326.874485734,drr
Japan,Myanmar,252.7266772118,drr
All DAC members,Bangladesh,245.1986984456,drr
Japan,Philippines,197.9816494516,drr
All DAC members,Mauritius,190.066232592,drr
France,Mauritius,182.2742036863,drr
All DAC members,Ethiopia,180.457027118,drr
All DAC members,Egypt,159.2618396951,drr
All DAC members,Cambodia,158.1426416403,drr
Korea,Cambodia,143.2174437708,drr
Korea,Egypt,142.1310491159,drr
All DAC members,Afghanistan,141.7184917146,drr
Korea,Philippines,131.2736286439,drr
All DAC members,Somalia,121.9938159964,drr
Japan,Bangladesh,102.8979573562,drr
EU Institutions,Albania,96.6496302948,drr
Korea,Ghana,95.9770566129,drr
Korea,Bangladesh,94.968166682,drr
Japan,Viet Nam,86.879877104,drr
EU Institutions,Türkiye,75.8745686555,drr
Korea,Indonesia,73.4780239628,drr
EU Institutions,Ukraine,73.3985634499,drr
France,Indonesia,59.83676994,drr
Sweden,Somalia,55.9341226706,drr
EU Institutions,Georgia,55.6216785531,drr
EU Institutions,Malawi,49.469679899,drr
EU Institutions,Serbia,48.851833828,drr
EU Institutions,Tanzania,46.5882203493,drr
EU Institutions,Haiti,44.5063687684,drr
Korea,Ethiopia,41.8011504424,drr
EU Institutions,Lebanon,40.9144695645,drr
EU Institutions,Myanmar,37.4010802199,drr
United States,Ethiopia,26.6806510167,drr
Ireland,Ethiopia,26.2750127036,drr
Netherlands,Ethiopia,26.1589834171,drr
France,Tunisia,25.7931401484,drr
Sweden,Tanzania,24.9687542106,drr
Korea,Paraguay,24.8333323155,drr
France,Benin,24.4616035028,drr
United States,Colombia,23.887495796,drr
United Kingdom,Pakistan,23.0792400761,drr
United States,Afghanistan,22.5887642164,drr
Japan,Fiji,21.4357697731,drr
Sweden,Afghanistan,21.0174502665,drr
United Kingdom,Somalia,20.7843194856,drr
Sweden,Democratic Republic of the Congo,20.2178264953,drr
Sweden,Syrian Arab Republic,20.1499367775,drr
Korea,Lao People's Democratic Republic,19.7832720223,drr
Korea,Tanzania,19.7045221798,drr
Sweden,Zambia,19.2777499533,drr
