donor_name_e,variable,2023,2024,marker
Australia,Total bilateral non-allocable aid,287.833151111826,661.839305760095,environment
Austria,Principal objective,89.8801987456757,77.8008870863076,environment
Austria,Significant objective,88.7671950935837,63.2621207116591,environment
Austria,Total of aid focused on policy objective,178.647393839259,141.063007797967,environment
Austria,Not targeted,290.40715516344,299.008744029851,environment
Austria,Not screened,0.281399136209114,0.0178297966688298,environment
Austria,Total bilateral allocable aid,469.335948138908,440.089581624486,environment
Austria,as % of screened aid,38.086698917876,32.0545472896336,environment
Austria,Total bilateral non-allocable aid,549.653010683639,402.275709658231,environment
Belgium,Principal objective,123.512870025493,146.704701687216,environment
Belgium,Significant objective,274.561622313079,253.263627741726,environment
Belgium,Total of aid focused on policy objective,398.074492338571,399.968329428942,environment
Belgium,Not targeted,356.572020221435,181.752463216526,environment
Belgium,Not screened,226.641477450499,300.882858522604,environment
Belgium,Total bilateral allocable aid,981.287990010506,882.603651168073,environment
Belgium,as % of screened aid,52.7497955285281,68.7560655361866,environment
Belgium,Total bilateral non-allocable aid,458.736113675234,569.393786545533,environment
Canada,Principal objective,630.232894624774,394.33616588958,environment
Canada,Significant objective,339.02903370005,85.1257176590635,environment
Canada,Total of aid focused on policy objective,969.261928324824,479.461883548644,environment
Canada,Not targeted,3771.2471134253,2801.90880141061,environment
Canada,Not screened,,22.1855519642737,environment
Canada,Total bilateral allocable aid,4740.50904175012,3303.55623692353,environment
Canada,as % of screened aid,20.4463680965154,14.6116342705913,environment
Canada,Total bilateral non-allocable aid,2022.10395962474,2129.46806473288,environment
Czechia,Principal objective,4.98513933845573,4.99771982482054,environment
Czechia,Significant objective,7.45759387870911,13.8065009323096,environment
Czechia,Total of aid focused on policy objective,12.4427332171648,18.8042207571301,environment
Czechia,Not targeted,60.2941922935982,49.7365843393521,environment
Czechia,Not screened,1.4065973088267,2.00865863689018,environment
Czechia,Total bilateral allocable aid,74.1435228195897,70.5494637333724,environment
Czechia,as % of screened aid,17.1064877017983,27.435074231562,environment
Czechia,Total bilateral non-allocable aid,418.308942558819,163.293948815558,environment
Denmark,Principal objective,201.378751392661,182.511666954302,environment
Denmark,Significant objective,308.573438167677,549.020623484112,environment
Denmark,Total of aid focused on policy objective,509.952189560338,731.532290438415,environment
Denmark,Not targeted,754.08866539345,1242.13319226285,environment
Denmark,Not screened,329.138853994381,35.3649166026134,environment
Denmark,Total bilateral allocable aid,1593.17970894817,2009.03039930387,environment
Denmark,as % of screened aid,40.3430148291355,37.0646544133306,environment
Denmark,Total bilateral non-allocable aid,382.183728937809,352.193325601497,environment
EU Institutions,Principal objective,2768.67961734288,3171.16611377893,environment
EU Institutions,Significant objective,4331.79004881647,6461.48932641142,environment
EU Institutions,Total of aid focused on policy objective,7100.46966615935,9632.65544019035,environment
EU Institutions,Not targeted,14200.346368085,12993.1410231451,environment
EU Institutions,Not screened,,,environment
EU Institutions,Total bilateral allocable aid,21300.8160342443,22625.7964633355,environment
EU Institutions,as % of screened aid,33.3342612543306,42.5737739478025,environment
EU Institutions,Total bilateral non-allocable aid,22307.0150630274,20301.1546201601,environment
Finland,Principal objective,3.38460382900113,24.6185799264547,environment
Finland,Significant objective,150.389304782732,73.8996863508544,environment
Finland,Total of aid focused on policy objective,153.773908611733,98.5182662773091,environment
Finland,Not targeted,356.706985885674,311.051920841445,environment
Finland,Not screened,55.1079060651656,1.88824263280337,environment
Finland,Total bilateral allocable aid,565.588800562573,411.458429751557,environment
Finland,as % of screened aid,30.1233425715434,24.0540618862827,environment
Finland,Total bilateral non-allocable aid,315.605610733284,338.635994711346,environment
France,Principal objective,1445.67660183884,3873.08807869365,environment
France,Significant objective,1032.45033150558,1706.97979273536,environment
France,Total of aid focused on policy objective,2478.12693334443,5580.06787142901,environment
France,Not targeted,5730.296335712,2361.43073389971,environment
France,Not screened,1313.49558296917,873.230956597826,environment
France,Total bilateral allocable aid,9521.91885202559,8814.72956192655,environment
France,as % of screened aid,30.1900481020065,70.2646710494264,environment
France,Total bilateral non-allocable aid,3030.14583466525,3161.72883813541,environment
Germany,Principal objective,2847.45576787285,2494.87697481529,environment
Germany,Significant objective,6692.20695169746,6377.42396956032,environment
Germany,Total of aid focused on policy objective,9539.66271957031,8872.30094437561,environment
Germany,Not targeted,10923.8723882692,7495.08277038803,environment
Germany,Not screened,301.925101668147,2079.08395747103,environment
Germany,Total bilateral allocable aid,20765.4602095077,18446.4676722347,environment
Germany,as % of screened aid,46.6178627949562,54.207203173056,environment
Germany,Total bilateral non-allocable aid,11263.1643242879,10389.0330425507,environment
Iceland,Principal objective,11.4619972852368,10.1405605065,environment
Iceland,Significant objective,27.0306907109397,22.4493121749,environment
Iceland,Total of aid focused on policy objective,38.4926879961766,32.5898726814,environment
Iceland,Not targeted,33.7710535825296,36.30959691,environment
Iceland,Not screened,,,environment
Iceland,Total bilateral allocable aid,72.2637415787062,68.8994695914,environment
Iceland,as % of screened aid,53.2669457119822,47.300614757516,environment
Iceland,Total bilateral non-allocable aid,19.8141804031848,20.107077318,environment
Ireland,Principal objective,85.7350908101085,134.948185766428,environment
Ireland,Significant objective,119.074353982869,102.003607914614,environment
Ireland,Total of aid focused on policy objective,204.809444792978,236.951793681042,environment
Ireland,Not targeted,357.159945817055,390.104345114112,environment
Ireland,Not screened,78.7549071870464,22.0671672831495,environment
Ireland,Total bilateral allocable aid,640.724297797079,649.123306078304,environment
Ireland,as % of screened aid,36.4449466848455,37.7879712869615,environment
Ireland,Total bilateral non-allocable aid,1602.56954940478,1132.1576951287,environment
Italy,Principal objective,135.804126915775,506.20661749946,environment
Italy,Significant objective,205.874884623659,541.462404419929,environment
Italy,Total of aid focused on policy objective,341.679011539433,1047.66902191939,environment
Italy,Not targeted,530.134312178615,782.515638800563,environment
Italy,Not screened,262.242036592973,186.201766277309,environment
Italy,Total bilateral allocable aid,1134.05536031102,2016.38642699726,environment
Italy,as % of screened aid,39.1917629891529,57.2438969905507,environment
Italy,Total bilateral non-allocable aid,1580.83597130466,1996.7029703926,environment
Japan,Principal objective,709.177316189217,902.657976227568,environment
Japan,Significant objective,13662.3382722583,5451.82981894781,environment
Japan,Total of aid focused on policy objective,14371.5155884475,6354.48779517537,environment
Japan,Not targeted,10444.9243612361,7102.56170715156,environment
Japan,Not screened,796.201934347262,802.118383213253,environment
Japan,Total bilateral allocable aid,25612.6418840309,14259.1678855402,environment
Japan,as % of screened aid,57.911270180519,47.2205128923438,environment
Japan,Total bilateral non-allocable aid,1323.50308154759,691.381700888208,environment
Korea,Principal objective,1460.39036576368,826.128775,environment
Korea,Significant objective,1749.74460605669,2728.719838,environment
Korea,Total of aid focused on policy objective,3210.13497182037,3554.848613,environment
Korea,Not targeted,1395.2607362616,2319.612622,environment
Korea,Not screened,74.2767670839233,2.800163,environment
Korea,Total bilateral allocable aid,4679.67247516589,5877.261398,environment
Korea,as % of screened aid,69.7037817225333,60.5136108792452,environment
Korea,Total bilateral non-allocable aid,129.933866651792,132.988955,environment
Luxembourg,Principal objective,16.9040193105043,13.1038036165866,environment
Luxembourg,Significant objective,88.5202772834432,73.1046337658209,environment
Luxembourg,Total of aid focused on policy objective,105.424296593948,86.2084373824075,environment
Luxembourg,Not targeted,299.525186339631,293.36745583476,environment
Luxembourg,Not screened,0,,environment
Luxembourg,Total bilateral allocable aid,404.949482933579,379.575893217167,environment
Luxembourg,as % of screened aid,26.033937821138,22.7117788360403,environment
Luxembourg,Total bilateral non-allocable aid,35.8299206478804,41.1013316890007,environment
Netherlands,Principal objective,254.926256887449,116.45246404571,environment
Netherlands,Significant objective,181.675412888745,593.19204269663,environment
Netherlands,Total of aid focused on policy objective,436.601669776194,709.64450674234,environment
Netherlands,Not targeted,3766.03955082981,1856.43709093606,environment
Netherlands,Not screened,0,0,environment
Netherlands,Total bilateral allocable aid,4202.64122060601,2566.0815976784,environment
Netherlands,as % of screened aid,10.3887447644945,27.6547911564611,environment
Netherlands,Total bilateral non-allocable aid,1796.98109185622,1824.81486209024,environment
New Zealand,Principal objective,140.120876717625,141.195587789006,environment
New Zealand,Significant objective,141.344085881054,88.9285137802371,environment
New Zealand,Total of aid focused on policy objective,281.464962598679,230.124101569243,environment
New Zealand,Not targeted,214.162630604948,266.939772577561,environment
New Zealand,Not screened,0,0,environment
New Zealand,Total bilateral allocable aid,495.627593203627,497.063874146804,environment
New Zealand,as % of screened aid,56.7896070473703,46.2966861078457,environment
New Zealand,Total bilateral non-allocable aid,161.615206115771,137.235346123609,environment
Norway,Principal objective,762.284581095148,370.640481873913,environment
Norway,Significant objective,646.506715506261,480.176680837605,environment
Norway,Total of aid focused on policy objective,1408.79129660141,850.817162711518,environment
Norway,Not targeted,3037.26157782221,1629.18245178935,environment
Norway,Not screened,,,environment
Norway,Total bilateral allocable aid,4446.05287442362,2479.99961450087,environment
Norway,as % of screened aid,31.6863369913036,34.3071489905354,environment
Norway,Total bilateral non-allocable aid,606.537264343805,595.268960715183,environment
Portugal,Principal objective,9.93077378943863,4.99314406229721,environment
Portugal,Significant objective,14.1449668571158,7.67520116807268,environment
Portugal,Total of aid focused on policy objective,24.0757406465544,12.6683452303699,environment
Portugal,Not targeted,176.10981032423,120.074767467013,environment
Portugal,Not screened,2.30288137638359,,environment
Portugal,Total bilateral allocable aid,202.488432347168,132.743112697383,environment
Portugal,as % of screened aid,12.0267124823949,9.5435047234806,environment
Portugal,Total bilateral non-allocable aid,32.8353399597229,60.1470560242267,environment
Slovenia,Principal objective,5.93752293866031,2.63588308457711,environment
Slovenia,Significant objective,1.84472316338244,5.14684025589444,environment
Slovenia,Total of aid focused on policy objective,7.78224610204275,7.78272334047156,environment
Slovenia,Not targeted,19.1168214002302,19.4389459016872,environment
Slovenia,Not screened,5.278653291763,0.826652394646334,environment
Slovenia,Total bilateral allocable aid,32.177720794036,28.0483216368051,environment
Slovenia,as % of screened aid,28.9312858201689,28.5901767126694,environment
Slovenia,Total bilateral non-allocable aid,44.4606259727245,28.5037613874162,environment
Spain,Principal objective,138.521407533561,195.507837139952,environment
Spain,Significant objective,188.753496530191,219.595085637475,environment
Spain,Total of aid focused on policy objective,327.274904063752,415.102922777427,environment
Spain,Not targeted,803.125322766682,792.315033640285,environment
Spain,Not screened,12.2518955288309,0.010518602638979,environment
Spain,Total bilateral allocable aid,1142.65212235926,1207.42847502035,environment
Spain,as % of screened aid,28.9521265385277,34.3793895536386,environment
Spain,Total bilateral non-allocable aid,525.184390106563,671.25746789509,environment
Sweden,Principal objective,269.756821355493,195.089936154916,environment
Sweden,Significant objective,421.239412647484,273.856487855,environment
Sweden,Total of aid focused on policy objective,690.996234002977,468.946424009917,environment
Sweden,Not targeted,1256.48850317422,972.037375157215,environment
Sweden,Not screened,117.945991491899,31.1871194988787,environment
Sweden,Total bilateral allocable aid,2065.4307286691,1472.17091866601,environment
Sweden,as % of screened aid,35.4814710899634,32.5434903765719,environment
Sweden,Total bilateral non-allocable aid,488.70409326473,353.911059388927,environment
Switzerland,Principal objective,125.251940862888,110.965520477002,environment
Switzerland,Significant objective,468.176804961613,331.708475900057,environment
Switzerland,Total of aid focused on policy objective,593.428745824501,442.673996377058,environment
Switzerland,Not targeted,1940.86207016376,1582.23800483816,environment
Switzerland,Not screened,,,environment
Switzerland,Total bilateral allocable aid,2534.29081598827,2024.91200121522,environment
Switzerland,as % of screened aid,23.4159687625703,21.8613942784375,environment
Switzerland,Total bilateral non-allocable aid,1750.80889576362,1387.00172282794,environment
United Kingdom,Principal objective,777.939852498655,2248.95916218584,environment
United Kingdom,Significant objective,1152.67945343235,1552.31958993075,environment
